Player_ID,Player_Tag,Real_Name,Country_Name,Country_ISO_Code,Birth_Year,Age,Primary_Game_ID,Current_Team_ID,Total_Prize_USD,Tournaments_Count
PL_000001,Star_BRA_1,Pro Athlete 1,Brazil,BRA,1998,28,G_11,TM_00147,6239.61,6
PL_000002,Star_CAN_2,Pro Athlete 2,Canada,CAN,2005,21,G_19,TM_00065,5540.58,7
PL_000003,Star_SAU_3,Pro Athlete 3,Saudi Arabia,SAU,1995,31,G_07,TM_00054,15864.04,6
PL_000004,Star_UKR_4,Pro Athlete 4,Ukraine,UKR,2000,26,G_12,TM_00085,26566.13,7
PL_000005,Star_DNK_5,Pro Athlete 5,Denmark,DNK,1996,30,G_14,TM_00101,12677.98,11
PL_000006,Star_VNM_6,Pro Athlete 6,Vietnam,VNM,2006,20,G_01,TM_00010,17165.76,8
PL_000007,Star_DNK_7,Pro Athlete 7,Denmark,DNK,2007,19,G_02,TM_00004,11533.18,7
PL_000008,Star_IDN_8,Pro Athlete 8,Indonesia,IDN,2002,24,G_02,TM_00062,14229.24,9
PL_000009,Star_THA_9,Pro Athlete 9,Thailand,THA,1997,29,G_09,TM_00057,30946.01,9
PL_000010,Star_JPN_10,Pro Athlete 10,Japan,JPN,2003,23,G_15,TM_00051,2340.61,12
PL_000011,Star_DEU_11,Pro Athlete 11,Germany,DEU,2004,22,G_01,TM_00007,16430.64,9
PL_000012,Star_PHL_12,Pro Athlete 12,Philippines,PHL,2002,24,G_17,TM_00151,22014.63,9
PL_000013,Star_SWE_13,Pro Athlete 13,Sweden,SWE,2006,20,G_17,TM_00088,54817.53,9
PL_000014,Star_BRA_14,Pro Athlete 14,Brazil,BRA,2005,21,G_11,TM_00147,63743.66,7
PL_000015,Star_PHL_15,Pro Athlete 15,Philippines,PHL,2000,26,G_10,TM_00115,56885.26,9
PL_000016,Star_BRA_16,Pro Athlete 16,Brazil,BRA,1997,29,G_06,TM_00103,56981.73,8
PL_000017,Star_IDN_17,Pro Athlete 17,Indonesia,IDN,2001,25,G_19,TM_00035,8705.48,8
PL_000018,Star_UKR_18,Pro Athlete 18,Ukraine,UKR,2002,24,G_20,TM_00120,17948.72,6
PL_000019,Star_DNK_19,Pro Athlete 19,Denmark,DNK,2002,24,G_14,TM_00101,5735.89,9
PL_000020,Star_PHL_20,Pro Athlete 20,Philippines,PHL,1997,29,G_17,TM_00151,48314.91,10
PL_000021,Star_SAU_21,Pro Athlete 21,Saudi Arabia,SAU,1997,29,G_07,TM_00054,64056.78,5
PL_000022,Star_JPN_22,Pro Athlete 22,Japan,JPN,1998,28,G_09,TM_00111,33182.56,9
PL_000023,Star_IDN_23,Pro Athlete 23,Indonesia,IDN,1998,28,G_07,TM_00175,10479.22,12
PL_000024,Star_PHL_24,Pro Athlete 24,Philippines,PHL,1995,31,G_07,TM_00015,3666.7,8
PL_000025,Star_THA_25,Pro Athlete 25,Thailand,THA,2001,25,G_10,TM_00124,99146.23,7
PL_000026,Star_DNK_26,Pro Athlete 26,Denmark,DNK,2007,19,G_12,TM_00107,7315.2,5
PL_000027,Star_SGP_27,Pro Athlete 27,Singapore,SGP,1995,31,G_04,TM_00017,91711.3,7
PL_000028,Star_SAU_28,Pro Athlete 28,Saudi Arabia,SAU,1999,27,G_07,TM_00054,44851.24,8
PL_000029,Star_JPN_29,Pro Athlete 29,Japan,JPN,2001,25,G_06,TM_00064,55323.67,7
PL_000030,Star_BRA_30,Pro Athlete 30,Brazil,BRA,1998,28,G_18,TM_00077,40802.11,10
PL_000031,Star_SWE_31,Pro Athlete 31,Sweden,SWE,2006,20,G_08,TM_00046,6023.18,14
PL_000032,Star_DEU_32,Pro Athlete 32,Germany,DEU,2005,21,G_01,TM_00007,5620.71,9
PL_000033,Star_USA_33,Pro Athlete 33,United States,USA,1998,28,G_08,TM_00070,20915.73,5
PL_000034,Star_DEU_34,Pro Athlete 34,Germany,DEU,2007,19,G_06,TM_00176,13933.75,10
PL_000035,Star_VNM_35,Pro Athlete 35,Vietnam,VNM,1998,28,G_06,TM_00011,9868.1,11
PL_000036,Star_USA_36,Pro Athlete 36,United States,USA,1996,30,G_03,TM_00047,16676.78,7
PL_000037,Star_DEU_37,Pro Athlete 37,Germany,DEU,1997,29,G_18,TM_00174,59438.56,5
PL_000038,Star_UKR_38,Pro Athlete 38,Ukraine,UKR,2002,24,G_13,TM_00177,17098.12,12
PL_000039,Star_SWE_39,Pro Athlete 39,Sweden,SWE,2004,22,G_20,TM_00109,70973.76,8
PL_000040,Star_KOR_40,Pro Athlete 40,South Korea,KOR,2002,24,G_08,TM_00105,17047.71,4
PL_000041,Star_IDN_41,Pro Athlete 41,Indonesia,IDN,2006,20,G_07,TM_00013,47327.08,6
PL_000042,Star_AUS_42,Pro Athlete 42,Australia,AUS,2000,26,G_13,TM_00155,4809.44,11
PL_000043,Star_JPN_43,Pro Athlete 43,Japan,JPN,2002,24,G_11,TM_00172,137994.2,5
PL_000044,Star_KOR_44,Pro Athlete 44,South Korea,KOR,1998,28,G_09,TM_00127,18226.53,11
PL_000045,Star_USA_45,Pro Athlete 45,United States,USA,2001,25,G_15,TM_00164,5890.93,13
PL_000046,Star_FRA_46,Pro Athlete 46,France,FRA,2001,25,G_15,TM_00090,50120.39,10
PL_000047,Star_VNM_47,Pro Athlete 47,Vietnam,VNM,2007,19,G_13,TM_00132,39829.19,6
PL_000048,Star_THA_48,Pro Athlete 48,Thailand,THA,1995,31,G_18,TM_00163,19378.33,8
PL_000049,Star_DEU_49,Pro Athlete 49,Germany,DEU,2004,22,G_15,TM_00116,3307.66,2
PL_000050,Star_USA_50,Pro Athlete 50,United States,USA,2006,20,G_08,TM_00114,2345.45,5
PL_000051,Star_VNM_51,Pro Athlete 51,Vietnam,VNM,2001,25,G_06,TM_00012,36586.62,7
PL_000052,Star_UKR_52,Pro Athlete 52,Ukraine,UKR,2006,20,G_14,TM_00097,31802.93,7
PL_000053,Star_KOR_53,Pro Athlete 53,South Korea,KOR,2000,26,G_08,TM_00171,15275.01,2
PL_000054,Star_KOR_54,Pro Athlete 54,South Korea,KOR,2001,25,G_01,TM_00002,75632.81,7
PL_000055,Star_IDN_55,Pro Athlete 55,Indonesia,IDN,2004,22,G_17,TM_00091,76641.1,10
PL_000056,Star_USA_56,Pro Athlete 56,United States,USA,2006,20,G_02,TM_00003,14495.51,9
PL_000057,Star_IDN_57,Pro Athlete 57,Indonesia,IDN,2004,22,G_17,TM_00069,28774.59,6
PL_000058,Star_JPN_58,Pro Athlete 58,Japan,JPN,2004,22,G_14,TM_00157,4557.76,3
PL_000059,Star_UKR_59,Pro Athlete 59,Ukraine,UKR,2003,23,G_16,TM_00128,16969.58,6
PL_000060,Star_SAU_60,Pro Athlete 60,Saudi Arabia,SAU,2003,23,G_08,TM_00055,14887.95,4
PL_000061,Star_SWE_61,Pro Athlete 61,Sweden,SWE,2005,21,G_19,TM_00121,52357.57,5
PL_000062,Star_CHN_62,Pro Athlete 62,China,CHN,2006,20,G_03,TM_00075,28900.96,8
PL_000063,Star_SAU_63,Pro Athlete 63,Saudi Arabia,SAU,2007,19,G_03,TM_00039,39370.94,5
PL_000064,Star_GBR_64,Pro Athlete 64,United Kingdom,GBR,1995,31,G_20,TM_00150,23203.67,10
PL_000065,Star_AUS_65,Pro Athlete 65,Australia,AUS,2003,23,G_10,TM_00028,28200.8,6
PL_000066,Star_JPN_66,Pro Athlete 66,Japan,JPN,1996,30,G_01,TM_00072,27916.68,5
PL_000067,Star_USA_67,Pro Athlete 67,United States,USA,2002,24,G_03,TM_00009,31795.53,6
PL_000068,Star_BRA_68,Pro Athlete 68,Brazil,BRA,2002,24,G_10,TM_00141,13458.57,7
PL_000069,Star_BRA_69,Pro Athlete 69,Brazil,BRA,1995,31,G_06,TM_00103,3309.86,6
PL_000070,Star_THA_70,Pro Athlete 70,Thailand,THA,1998,28,G_10,TM_00124,12166.17,5
PL_000071,Star_PHL_71,Pro Athlete 71,Philippines,PHL,2003,23,G_10,TM_00115,12981.19,10
PL_000072,Star_USA_72,Pro Athlete 72,United States,USA,2003,23,G_02,TM_00029,13955.5,11
PL_000073,Star_SAU_73,Pro Athlete 73,Saudi Arabia,SAU,2001,25,G_07,TM_00054,20749.67,9
PL_000074,Star_KOR_74,Pro Athlete 74,South Korea,KOR,2006,20,G_08,TM_00171,55873.62,9
PL_000075,Star_SWE_75,Pro Athlete 75,Sweden,SWE,1995,31,G_08,TM_00046,38614.51,6
PL_000076,Star_SAU_76,Pro Athlete 76,Saudi Arabia,SAU,2003,23,G_03,TM_00039,15981.42,8
PL_000077,Star_BRA_77,Pro Athlete 77,Brazil,BRA,2001,25,G_18,TM_00077,19248.68,16
PL_000078,Star_SWE_78,Pro Athlete 78,Sweden,SWE,2003,23,G_15,TM_00067,42727.18,8
PL_000079,Star_GBR_79,Pro Athlete 79,United Kingdom,GBR,2007,19,G_12,TM_00038,16348.65,9
PL_000080,Star_SAU_80,Pro Athlete 80,Saudi Arabia,SAU,2005,21,G_17,TM_00149,4702.07,3
PL_000081,Star_IDN_81,Pro Athlete 81,Indonesia,IDN,1995,31,G_07,TM_00014,11937.33,5
PL_000082,Star_AUS_82,Pro Athlete 82,Australia,AUS,1998,28,G_13,TM_00155,40524.84,11
PL_000083,Star_BRA_83,Pro Athlete 83,Brazil,BRA,1999,27,G_18,TM_00071,9547.99,7
PL_000084,Star_IDN_84,Pro Athlete 84,Indonesia,IDN,2002,24,G_20,TM_00142,20666.27,12
PL_000085,Star_UKR_85,Pro Athlete 85,Ukraine,UKR,2001,25,G_16,TM_00128,2424.18,6
PL_000086,Star_BRA_86,Pro Athlete 86,Brazil,BRA,1999,27,G_03,TM_00144,54262.11,5
PL_000087,Star_FRA_87,Pro Athlete 87,France,FRA,2007,19,G_11,TM_00096,45122.73,8
PL_000088,Star_BRA_88,Pro Athlete 88,Brazil,BRA,1999,27,G_14,TM_00148,13748.2,6
PL_000089,Star_BRA_89,Pro Athlete 89,Brazil,BRA,2002,24,G_16,TM_00160,4649.36,13
PL_000090,Star_IDN_90,Pro Athlete 90,Indonesia,IDN,1997,29,G_20,TM_00142,8694.98,7
PL_000091,Star_SWE_91,Pro Athlete 91,Sweden,SWE,2001,25,G_15,TM_00067,12334.92,2
PL_000092,Star_BRA_92,Pro Athlete 92,Brazil,BRA,1999,27,G_08,TM_00112,13642.56,9
PL_000093,Star_UKR_93,Pro Athlete 93,Ukraine,UKR,2004,22,G_02,TM_00098,16617.37,12
PL_000094,Star_KOR_94,Pro Athlete 94,South Korea,KOR,1995,31,G_19,TM_00099,2843.16,8
PL_000095,Star_SAU_95,Pro Athlete 95,Saudi Arabia,SAU,2006,20,G_16,TM_00162,70260.83,5
PL_000096,Star_VNM_96,Pro Athlete 96,Vietnam,VNM,2003,23,G_13,TM_00132,3225.25,9
PL_000097,Star_KOR_97,Pro Athlete 97,South Korea,KOR,1997,29,G_03,TM_00102,3041.23,9
PL_000098,Star_CHN_98,Pro Athlete 98,China,CHN,2002,24,G_08,TM_00053,16933.34,10
PL_000099,Star_SAU_99,Pro Athlete 99,Saudi Arabia,SAU,2005,21,G_08,TM_00055,3326.7,11
PL_000100,Star_JPN_100,Pro Athlete 100,Japan,JPN,2002,24,G_15,TM_00051,75907.5,8
PL_000101,Star_FRA_101,Pro Athlete 101,France,FRA,1996,30,G_09,TM_00084,28589.73,17
PL_000102,Star_SWE_102,Pro Athlete 102,Sweden,SWE,2006,20,G_20,TM_00109,19471.72,5
PL_000103,Star_GBR_103,Pro Athlete 103,United Kingdom,GBR,2003,23,G_16,TM_00094,1800.14,11
PL_000104,Star_SWE_104,Pro Athlete 104,Sweden,SWE,1996,30,G_20,TM_00109,12578.4,9
PL_000105,Star_PHL_105,Pro Athlete 105,Philippines,PHL,1997,29,G_10,TM_00092,16400.35,4
PL_000106,Star_BRA_106,Pro Athlete 106,Brazil,BRA,2007,19,G_18,TM_00071,28899.67,8
PL_000107,Star_DNK_107,Pro Athlete 107,Denmark,DNK,2004,22,G_01,TM_00023,4066.06,7
PL_000108,Star_GBR_108,Pro Athlete 108,United Kingdom,GBR,2006,20,G_01,TM_00008,23068.31,7
PL_000109,Star_CHN_109,Pro Athlete 109,China,CHN,2003,23,G_18,TM_00119,45016.96,7
PL_000110,Star_USA_110,Pro Athlete 110,United States,USA,1997,29,G_02,TM_00029,20006.39,10
PL_000111,Star_SAU_111,Pro Athlete 111,Saudi Arabia,SAU,2001,25,G_03,TM_00039,51058.26,9
PL_000112,Star_BRA_112,Pro Athlete 112,Brazil,BRA,2001,25,G_06,TM_00103,17264.01,6
PL_000113,Star_VNM_113,Pro Athlete 113,Vietnam,VNM,2000,26,G_20,TM_00167,11303.32,11
PL_000114,Star_BRA_114,Pro Athlete 114,Brazil,BRA,2002,24,G_18,TM_00027,3690.81,11
PL_000115,Star_CHN_115,Pro Athlete 115,China,CHN,1995,31,G_10,TM_00080,8236.18,8
PL_000116,Star_KOR_116,Pro Athlete 116,South Korea,KOR,1997,29,G_01,TM_00001,3008.12,8
PL_000117,Star_SWE_117,Pro Athlete 117,Sweden,SWE,2002,24,G_17,TM_00088,5416.46,5
PL_000118,Star_IDN_118,Pro Athlete 118,Indonesia,IDN,2004,22,G_20,TM_00142,1670.17,8
PL_000119,Star_AUS_119,Pro Athlete 119,Australia,AUS,2006,20,G_16,TM_00125,8070.14,6
PL_000120,Star_SWE_120,Pro Athlete 120,Sweden,SWE,1998,28,G_17,TM_00044,42675.22,10
PL_000121,Star_JPN_121,Pro Athlete 121,Japan,JPN,2002,24,G_11,TM_00172,3966.04,11
PL_000122,Star_FRA_122,Pro Athlete 122,France,FRA,1996,30,G_11,TM_00096,24187.78,6
PL_000123,Star_SGP_123,Pro Athlete 123,Singapore,SGP,1999,27,G_04,TM_00017,181337.16,9
PL_000124,Star_SAU_124,Pro Athlete 124,Saudi Arabia,SAU,2000,26,G_17,TM_00149,17330.84,12
PL_000125,Star_IDN_125,Pro Athlete 125,Indonesia,IDN,2006,20,G_17,TM_00069,20017.56,8
PL_000126,Star_GBR_126,Pro Athlete 126,United Kingdom,GBR,2005,21,G_01,TM_00008,5467.73,5
PL_000127,Star_SWE_127,Pro Athlete 127,Sweden,SWE,2006,20,G_17,TM_00088,18341.54,12
PL_000128,Star_DNK_128,Pro Athlete 128,Denmark,DNK,2007,19,G_03,TM_00032,14026.93,14
PL_000129,Star_PHL_129,Pro Athlete 129,Philippines,PHL,1997,29,G_20,TM_00138,17884.92,5
PL_000130,Star_USA_130,Pro Athlete 130,United States,USA,2006,20,G_02,TM_00029,27455.02,11
PL_000131,Star_IDN_131,Pro Athlete 131,Indonesia,IDN,2006,20,G_03,TM_00108,1601.26,8
PL_000132,Star_JPN_132,Pro Athlete 132,Japan,JPN,1996,30,G_09,TM_00111,33086.62,8
PL_000133,Star_FRA_133,Pro Athlete 133,France,FRA,1996,30,G_11,TM_00096,129406.17,7
PL_000134,Star_IDN_134,Pro Athlete 134,Indonesia,IDN,1996,30,G_10,TM_00050,110544.34,2
PL_000135,Star_SWE_135,Pro Athlete 135,Sweden,SWE,2006,20,G_20,TM_00109,2995.7,10
PL_000136,Star_KOR_136,Pro Athlete 136,South Korea,KOR,2002,24,G_04,TM_00042,132704.33,7
PL_000137,Star_DNK_137,Pro Athlete 137,Denmark,DNK,2005,21,G_17,TM_00074,16149.15,9
PL_000138,Star_CHN_138,Pro Athlete 138,China,CHN,2000,26,G_03,TM_00075,220649.81,11
PL_000139,Star_SWE_139,Pro Athlete 139,Sweden,SWE,1996,30,G_20,TM_00165,16988.8,5
PL_000140,Star_BRA_140,Pro Athlete 140,Brazil,BRA,2003,23,G_18,TM_00077,3754.52,7
PL_000141,Star_SGP_141,Pro Athlete 141,Singapore,SGP,2006,20,G_04,TM_00017,8993.47,9
PL_000142,Star_SWE_142,Pro Athlete 142,Sweden,SWE,2001,25,G_20,TM_00109,5871.65,9
PL_000143,Star_VNM_143,Pro Athlete 143,Vietnam,VNM,2006,20,G_04,TM_00019,2175.99,16
PL_000144,Star_DNK_144,Pro Athlete 144,Denmark,DNK,2007,19,G_12,TM_00107,5165.75,8
PL_000145,Star_SWE_145,Pro Athlete 145,Sweden,SWE,2003,23,G_20,TM_00109,34930.76,6
PL_000146,Star_IDN_146,Pro Athlete 146,Indonesia,IDN,2004,22,G_02,TM_00062,37962.31,4
PL_000147,Star_JPN_147,Pro Athlete 147,Japan,JPN,1997,29,G_09,TM_00133,48467.67,9
PL_000148,Star_SAU_148,Pro Athlete 148,Saudi Arabia,SAU,2001,25,G_13,TM_00036,13268.8,7
