Placement_ID,Tournament_ID,Rank,Rank_Label,Team_ID,Prize_Money_USD,Prize_Share_Pct,Is_Winner
PLC_0000001,TN_000001,1,1st Place (Champion),TM_00002,1306100.57,45.0,1
PLC_0000002,TN_000001,2,2nd Place,TM_00010,580489.14,20.0,0
PLC_0000003,TN_000001,3,3rd Place,TM_00072,348293.49,12.0,0
PLC_0000004,TN_000001,4,4th Place,TM_00001,232195.66,8.0,0
PLC_0000005,TN_000001,5,5th Place,TM_00007,145122.29,5.0,0
PLC_0000006,TN_000001,6,6th Place,TM_00020,116097.83,4.0,0
PLC_0000007,TN_000001,7,7th Place,TM_00018,87073.37,3.0,0
PLC_0000008,TN_000002,1,1st Place (Champion),TM_00076,136991.06,45.0,1
PLC_0000009,TN_000002,2,2nd Place,TM_00147,60884.91,20.0,0
PLC_0000010,TN_000002,3,3rd Place,TM_00110,36530.95,12.0,0
PLC_0000011,TN_000002,4,4th Place,TM_00172,24353.97,8.0,0
PLC_0000012,TN_000002,5,5th Place,TM_00113,15221.23,5.0,0
PLC_0000013,TN_000002,6,6th Place,TM_00135,12176.98,4.0,0
PLC_0000014,TN_000002,7,7th Place,TM_00158,9132.74,3.0,0
PLC_0000015,TN_000002,8,8th Place,TM_00096,9132.74,3.0,0
PLC_0000016,TN_000003,1,1st Place (Champion),TM_00119,290933.73,45.0,1
PLC_0000017,TN_000003,2,2nd Place,TM_00027,129303.88,20.0,0
PLC_0000018,TN_000003,3,3rd Place,TM_00045,77582.33,12.0,0
PLC_0000019,TN_000003,4,4th Place,TM_00077,51721.55,8.0,0
PLC_0000020,TN_000003,5,5th Place,TM_00174,32325.97,5.0,0
PLC_0000021,TN_000003,6,6th Place,TM_00071,25860.78,4.0,0
PLC_0000022,TN_000003,7,7th Place,TM_00140,19395.58,3.0,0
PLC_0000023,TN_000003,8,8th Place,TM_00163,19395.58,3.0,0
PLC_0000024,TN_000004,1,1st Place (Champion),TM_00014,478456.73,45.0,1
PLC_0000025,TN_000004,2,2nd Place,TM_00013,212647.43,20.0,0
