Tournament_ID,Tournament_Name,Game_ID,Year,Month,Start_Date,End_Date,Duration_Days,Tier,Tournament_Type,Organizer,Host_Country,Host_City,Host_Country_ISO,Prize_Pool_USD,Is_Crowdfunded,Peak_Viewers,Average_Viewers,Hours_Watched_Thousands,Air_Time_Hours,Winning_Team_ID,Prize_Per_Viewer_Ratio
TN_000001,League of Legends Tier Championship 2018,G_01,2018,11,2018-11-26,2018-12-21,25,Tier 1 (S-Tier / Premier),Offline (LAN),Riot Games,United States,Seattle,USA,2902445.72,0,4205332,1463356,256087.3,175,TM_00002,0.6902
TN_000002,Overwatch 2 Tier Championship 2019,G_11,2019,7,2019-07-13,2019-07-26,13,Tier 3 (B-Tier / Minor),Online,Moonton,Online,Online,GLB,304424.57,0,206536,85045,7739.1,91,TM_00076,1.474
TN_000003,PUBG: Battlegrounds Tier Championship 2017,G_18,2017,8,2017-08-22,2017-09-25,34,Tier 2 (A-Tier / Major),Offline (LAN),Krafton,Poland,Katowice,POL,646519.4,0,1182508,461985,94244.94,204,TM_00119,0.5467
TN_000004,Mobile Legends: Bang Bang Tier Championship 2021,G_07,2021,4,2021-04-13,2021-05-03,20,Tier 1 (S-Tier / Premier),Offline (LAN),Moonton,Thailand,Bangkok,THA,1063237.17,0,5414778,2340699,280883.88,120,TM_00014,0.1964
TN_000005,Street Fighter 6 Tier Championship 2020,G_17,2020,8,2020-08-16,2020-08-23,7,Tier 3 (B-Tier / Minor),Online,Capcom,Online,Online,GLB,25558.11,0,2000,635,35.56,56,TM_00091,12.7791
TN_000006,Teamfight Tactics Tier Championship 2025,G_19,2025,1,2025-01-09,2025-02-05,27,Tier 2 (A-Tier / Major),Offline (LAN),Garena,South Korea,Seoul,KOR,335295.24,0,1805970,808280,130941.36,162,TM_00079,0.1857
TN_000007,StarCraft II Tier Championship 2019,G_13,2019,1,2019-01-26,2019-02-23,28,Tier 2 (A-Tier / Major),Offline (LAN),Blizzard,China,Shanghai,CHN,167061.48,0,788232,346226,67860.3,196,TM_00173,0.2119
TN_000008,Fortnite Tier Championship 2024,G_08,2024,4,2024-04-14,2024-04-18,4,Tier 4 (Regional / Qualifier),Online,Epic Games,Online,Online,GLB,48744.12,0,163097,69260,1939.28,28,TM_00055,0.2989
TN_000009,Mobile Legends: Bang Bang Tier Championship 2021,G_07,2021,3,2021-03-10,2021-03-29,19,Tier 1 (S-Tier / Premier),Offline (LAN),Garena,Vietnam,Hanoi,VNM,1270400.37,0,6408929,2482136,235802.92,95,TM_00175,0.1982
TN_000010,Rainbow Six Siege Tier Championship 2016,G_09,2016,8,2016-08-26,2016-09-06,11,Tier 3 (B-Tier / Minor),Online,ESL FACEIT Group,Online,Online,GLB,54187.75,0,174749,54601,4804.89,88,TM_00111,0.3101
