Breakdown_ID,Tournament_ID,Platform,Broadcast_Language,Platform_Peak_Viewers,Platform_Hours_Watched_k,Viewer_Share_Pct
VBD_0000001,TN_000001,Twitch,English,1396242,85025.39,33.2
VBD_0000002,TN_000001,YouTube,Vietnamese,944810,57535.03,22.5
VBD_0000003,TN_000001,YouTube,Korean,921442,56112.04,21.9
VBD_0000004,TN_000001,AfreecaTV / SOOP,Korean,624005,37999.34,14.8
VBD_0000005,TN_000001,Twitch,Spanish,240404,14639.62,5.7
VBD_0000006,TN_000002,Twitch,English,102995,3859.34,49.9
VBD_0000007,TN_000002,YouTube,English,49629,1859.65,24.0
VBD_0000008,TN_000002,Twitch,European,36955,1384.77,17.9
VBD_0000009,TN_000002,YouTube,Asian,17804,667.16,8.6
VBD_0000010,TN_000003,YouTube,Indonesian,420561,33518.4,35.6
VBD_0000011,TN_000003,TikTok Live,Southeast Asian,279701,22292.0,23.7
VBD_0000012,TN_000003,YouTube,Vietnamese,252295,20107.76,21.3
VBD_0000013,TN_000003,Twitch,English,159372,12701.87,13.5
VBD_0000014,TN_000003,Facebook Gaming,Portuguese,82898,6606.95,7.0
VBD_0000015,TN_000004,Twitch,English,1894126,98255.1,35.0
VBD_0000016,TN_000004,YouTube,Vietnamese,1368189,70972.9,25.3
VBD_0000017,TN_000004,YouTube,Korean,1066575,55327.1,19.7
VBD_0000018,TN_000004,AfreecaTV / SOOP,Korean,722031,37454.38,13.3
VBD_0000019,TN_000004,Twitch,Spanish,283415,14701.79,5.2
VBD_0000020,TN_000005,Twitch,English,1017,18.1,50.9
VBD_0000021,TN_000005,YouTube,English,513,9.14,25.7
VBD_0000022,TN_000005,Twitch,European,289,5.14,14.5
VBD_0000023,TN_000005,YouTube,Asian,156,2.78,7.8
VBD_0000024,TN_000006,Twitch,English,906005,65689.69,50.2
VBD_0000025,TN_000006,YouTube,English,486699,35288.01,26.9
VBD_0000026,TN_000006,Twitch,European,316577,22953.4,17.5
VBD_0000027,TN_000006,YouTube,Asian,174153,12626.92,9.6
VBD_0000028,TN_000007,Twitch,English,383439,33010.95,48.6
VBD_0000029,TN_000007,YouTube,English,216708,18656.82,27.5
VBD_0000030,TN_000007,Twitch,European,106556,9173.63,13.5
VBD_0000031,TN_000007,YouTube,Asian,55817,4805.4,7.1
VBD_0000032,TN_000008,YouTube,Indonesian,53315,633.94,32.7
VBD_0000033,TN_000008,TikTok Live,Southeast Asian,40208,478.1,24.7
VBD_0000034,TN_000008,YouTube,Vietnamese,30606,363.92,18.8
VBD_0000035,TN_000008,Twitch,English,29069,345.64,17.8
VBD_0000036,TN_000008,Facebook Gaming,Portuguese,4621,54.95,2.8
VBD_0000037,TN_000009,Twitch,English,2281539,83944.41,35.6
VBD_0000038,TN_000009,YouTube,Vietnamese,1678359,61751.66,26.2
VBD_0000039,TN_000009,YouTube,Korean,1286014,47316.19,20.1
VBD_0000040,TN_000009,AfreecaTV / SOOP,Korean,698552,25701.74,10.9
VBD_0000041,TN_000009,Twitch,Spanish,484810,17837.56,7.6
VBD_0000042,TN_000010,Twitch,English,80011,2200.0,45.8
VBD_0000043,TN_000010,Twitch,Russian,33021,907.96,18.9
VBD_0000044,TN_000010,YouTube,Portuguese,29815,819.79,17.1
VBD_0000045,TN_000010,Twitch,Spanish,21186,582.56,12.1
VBD_0000046,TN_000010,Chzzk / AfreecaTV,Korean,8559,235.35,4.9
