Tournament_ID,Tournament_Name,Game_ID,Year,Month,Start_Date,End_Date,Duration_Days,Tier,Tournament_Type,Organizer,Host_Country,Host_City,Host_Country_ISO,Prize_Pool_USD,Is_Crowdfunded,Peak_Viewers,Average_Viewers,Hours_Watched_Thousands,Air_Time_Hours,Winning_Team_ID,Prize_Per_Viewer_Ratio,Prize_Pool_Raw
TN_000001,League of Legends Tier Championship 2018,G_01,2018,11,2018-11-26,2018-12-21,25,Tier 1 (S-Tier / Premier),Offline (LAN),Riot Games,United States,Seattle,USA,2902445.72,0,4205332.0,1463356,256087.3,175,TM_00002,0.6902,"$2,902,445.72"
TN_000002,Overwatch 2 Tier Championship 2019,G_11,2019,7,2019-07-13,2019-07-26,13,Tier 3 (B-Tier / Minor),Online,Moonton,Online,Online,GLB,304424.57,0,206536.0,85045,7739.1,91,TM_00076,1.474,"$304,424.57"
TN_000003,PUBG: Battlegrounds Tier Championship 2017,G_18,2017,8,2017-08-22,2017-09-25,34,Tier 2 (A-Tier / Major),Offline (LAN),Krafton,Poland,Katowice,POL,646519.4,0,1182508.0,461985,94244.94,204,TM_00119,0.5467,"$646,519.40"
TN_000004,Mobile Legends: Bang Bang Tier Championship 2021,G_07,2021,4,2021-04-13,2021-05-03,20,Tier 1 (S-Tier / Premier),Offline (LAN),Moonton,Thailand,Bangkok,THA,1063237.17,0,5414778.0,2340699,280883.88,120,TM_00014,0.1964,"$1,063,237.17"
TN_000005,Street Fighter 6 Tier Championship 2020,G_17,2020,8,2020-08-16,2020-08-23,7,Tier 3 (B-Tier / Minor),Online,Capcom,Online,Online,GLB,25558.11,0,2000.0,635,35.56,56,TM_00091,12.7791,"$25,558.11"
TN_000006,Teamfight Tactics Tier Championship 2025,G_19,2025,1,2025-01-09,2025-02-05,27,Tier 2 (A-Tier / Major),Offline (LAN),Garena,South Korea,Seoul,KOR,335295.24,0,1805970.0,808280,130941.36,162,TM_00079,0.1857,
TN_000007,StarCraft II Tier Championship 2019,G_13,2019,1,2019-01-26,2019-02-23,28,Tier 2 (A-Tier / Major),Offline (LAN),Blizzard,China,Shanghai,CHN,167061.48,0,788232.0,346226,67860.3,196,TM_00173,0.2119,"$167,061.48"
TN_000008,Fortnite Tier Championship 2024,G_08,2024,4,2024-04-14,2024-04-18,4,Tier 4 (Regional / Qualifier),Online,Epic Games,Online,Online,GLB,48744.12,0,163097.0,69260,1939.28,28,TM_00055,0.2989,"$48,744.12"
TN_000009,Mobile Legends: Bang Bang Tier Championship 2021,G_07,2021,3,2021-03-10,2021-03-29,19,Tier 1 (S-Tier / Premier),Offline (LAN),Garena,Vietnam,,VNM,1270400.37,0,,2482136,235802.92,95,TM_00175,0.1982,"$1,270,400.37"
TN_000010,Rainbow Six Siege Tier Championship 2016,G_09,2016,8,2016-08-26,2016-09-06,11,Tier 3 (B-Tier / Minor),Online,ESL FACEIT Group,Online,Online,GLB,54187.75,0,174749.0,54601,4804.89,88,TM_00111,0.3101,TBD / Postponed
TN_000011,VALORANT Tier Championship 2022,G_04,2022,6,2022-06-10,2022-07-08,28,Tier 2 (A-Tier / Major),Offline (LAN),Riot Games,France,Paris,FRA,203597.35,0,1045171.0,293569,49319.59,168,TM_00017,0.1948,"$203,597.35"
TN_000012,Rainbow Six Siege Tier Championship 2018,G_09,2018,12,2018-12-28,2019-01-07,10,Tier 4 (Regional / Qualifier),Offline (LAN),Ubisoft,Vietnam,Hanoi,VNM,29046.96,0,72067.0,21873,1749.84,80,TM_00060,0.4031,"$29,046.96"
TN_000013,Overwatch 2 Tier Championship 2023,G_11,2023,5,2023-05-06,2023-05-16,10,Tier 3 (B-Tier / Minor),Online,Blizzard,Online,Online,GLB,28911.37,0,176858.0,53133,3187.98,60,TM_00158,0.1635,"$28,911.37"
TN_000014,Overwatch 2 Tier Championship 2023,G_11,2023,8,2023-08-05,2023-08-26,21,Tier 2 (A-Tier / Major),Offline (LAN),Blizzard,South Korea,Seoul,KOR,344803.81,0,1566718.0,666800,112022.4,168,TM_00147,0.2201,"$344,803.81"
TN_000015,Arena of Valor Tier Championship 2020,G_06,2020,7,2020-07-08,2020-07-25,17,Tier 1 (S-Tier / Premier),Offline (LAN),BLAST,Germany,Cologne,DEU,748012.53,0,4197908.0,1403049,166962.83,119,TM_00117,0.1782,"$748,012.53"
TN_000016,PUBG: Battlegrounds Tier Championship 2024,G_18,2024,9,2024-09-09,2024-09-23,14,Tier 4 (Regional / Qualifier),Online,ESL FACEIT Group,Online,,GLB,51568.91,0,,39047,3826.61,98,TM_00045,0.4832,"$51,568.91"
TN_000017,Fortnite Tier Championship 2023,G_08,2023,11,2023-11-17,2023-12-13,26,Tier 1 (S-Tier / Premier),Offline (LAN),Epic Games,Vietnam,Ho Chi Minh City,VNM,1956388.19,0,5338542.0,1601036,208134.68,130,TM_00046,0.3665,"$1,956,388.19"
TN_000018,Rainbow Six Siege Tier Championship 2023,G_09,2023,2,2023-02-19,2023-02-23,4,Tier 4 (Regional / Qualifier),Online,Ubisoft,Online,Online,GLB,52364.75,0,124701.0,37273,894.55,24,TM_00049,0.4199,"$52,364.75"
TN_000019,Tekken 8 Tier Championship 2022,G_16,2022,5,2022-05-09,2022-05-22,13,Tier 3 (B-Tier / Minor),Offline (LAN),Moonton,France,Paris,FRA,231841.83,0,281092.0,111936,8731.01,78,TM_00094,0.8248,"$231,841.83"
TN_000020,PUBG: Battlegrounds Tier Championship 2019,G_18,2019,11,2019-11-16,2019-12-04,18,Tier 2 (A-Tier / Major),Offline (LAN),Krafton,South Korea,Seoul,KOR,111497.37,0,1232729.0,403792,36341.28,90,TM_00071,0.0904,"$111,497.37"
TN_000021,VALORANT Tier Championship 2023,G_04,2023,6,2023-06-25,2023-07-27,32,Tier 2 (A-Tier / Major),Offline (LAN),Riot Games,Philippines,Manila,PHL,274723.19,0,1580884.0,459716,102976.38,224,TM_00017,0.1738,"$274,723.19"
TN_000022,Fortnite Tier Championship 2022,G_08,2022,1,2022-01-16,2022-02-04,19,Tier 1 (S-Tier / Premier),Offline (LAN),Epic Games,Poland,Katowice,POL,2116664.42,0,7348771.0,3096280,294146.6,95,TM_00171,0.288,"$2,116,664.42"
TN_000023,League of Legends Tier Championship 2019,G_01,2019,12,2019-12-10,2019-12-24,14,Tier 3 (B-Tier / Minor),Online,Riot Games,Online,Online,GLB,53301.13,0,421819.0,175223,19624.98,112,TM_00007,0.1264,"$53,301.13"
